,win_rate,standard_error,mode,avg_length,n_wins,n_wins_base,n_draws,n_total,discrete_win_rate,length_controlled_winrate,lc_standard_error
temp150_minp_10,56.53735632,1.87895234,verified,1852,393,302,1,696,56.53735632,58.11881488,1.8700931368329
temp150_minp_15,53.36676218,1.888226473,verified,1816,372,325,1,698,53.36676218,56.73458033,1.8752823771120
temp150_minp_20,53.37643678,1.890912657,verified,1835,371,324,1,696,53.37643678,55.44572005,1.8839705461847
quad_20_100,52.80172414,1.892263077,verified,1821,367,328,1,696,52.80172414,55.42578308,1.8840531929439
temp100_minp_05,52.00860832,1.892354055,verified,1808,362,334,1,697,52.00860832,55.06663122,1.8841364671259
temp200_minp_20,53.08022923,1.888928145,verified,1861,370,327,1,698,53.08022923,54.81719595,1.8837240683394
temp80_topp_98,51.29124821,1.893252491,verified,1810,357,339,1,697,51.29124821,54.64533134,1.8856936649204
dynatemp_50_150_75_minp_05,51.58273381,1.895656278,verified,1807,358,336,1,695,51.58273381,54.41561839,1.8891977339641
dynatemp_50_200_100_minp_10,51.86781609,1.89255541,verified,1825,360,334,2,696,51.86781609,54.32695132,1.8881350238246
temp150_minp_10_seed1337,52.86123033,1.888070232,verified,1856,369,329,1,699,52.86123033,53.84282856,1.8855798957281
temp170_minp_15,52.65423242,1.889847896,verified,1855,366,329,2,697,52.65423242,53.74716935,1.8885590454436
temp120_minp_10,51.36103152,1.891825628,verified,1829,358,339,1,698,51.36103152,53.74664841,1.8872072063338
quad_15_100,51.64992826,1.894212957,verified,1843,360,337,0,697,51.64992826,53.69837539,1.8886970372657
tfs_95,50.79022989,1.895008051,verified,1802,353,342,1,696,50.79022989,53.49367932,1.8906128532772
tfs_98,50.71736011,1.893689837,verified,1807,353,343,1,697,50.71736011,53.39482036,1.8895146738247
temp100_minp_10,50.14388489,1.89660024,verified,1793,348,346,1,695,50.14388489,53.24399951,1.8926120913377
temp100_topp_98,50.43041607,1.893814774,verified,1834,351,345,1,697,50.43041607,52.99741598,1.8904788616345
temp100_topp_90,50.07225434,1.900712816,verified,1815,346,345,1,692,50.07225434,52.57380933,1.8981948778023
temp80,49.28366762,1.893690675,verified,1797,344,354,0,698,49.28366762,52.40234444,1.8903421944186
temp100_topp_95,50.21551724,1.895227478,verified,1835,349,346,1,696,50.21551724,51.80176568,1.8940141798001
temp100_minp_02,50.43103448,1.896537629,verified,1853,351,345,0,696,50.43103448,51.62002951,1.8942500352307
temp80_minp_02,48.85057471,1.893379193,verified,1802,339,355,2,696,48.85057471,51.46140018,1.8944354045881
temp80_minp_05,47.84482759,1.892115912,verified,1808,332,362,2,696,47.84482759,50.98825166,1.8948748778411
temp80_topp_95,48.77873563,1.894678864,verified,1793,339,356,1,696,48.77873563,50.75558991,1.8950286913966
temp100,50,0,verified,1902,0,0,700,700,50,50,0.0000000000000
dynatemp_100_250_100_minp_10,50.85959885,1.893605145,verified,2227,355,343,0,698,50.85959885,49.99652198,1.8925279056825
quad_25_100,47.84791966,1.892127425,verified,1807,333,363,1,697,47.84791966,49.94018523,1.8938836925052
temp150_tfs_95,51.07604017,1.894806171,verified,1969,356,341,0,697,51.07604017,49.9362341,1.8938835075544
greedy,46.64285714,1.885551631,verified,1765,326,373,1,700,46.64285714,49.90265613,1.8898187835158
temp150_minp_05,48.56527977,1.893104083,verified,1919,338,358,1,697,48.56527977,48.1312208,1.8925617689263
temp150_minp_02,44.82758621,1.886432488,verified,2149,312,384,0,696,44.82758621,42.08541582,1.8713506084157
dynatemp_50_150_100,35.36585366,1.810829079,verified,2764,246,450,1,697,35.36585366,34.93980904,1.8059326147015
temp150_topp_80,24.21052632,4.418172154,verified,5258,23,72,0,95,24.21052632,17.64953283,3.9114504970488
mirostat_40_10,16.69054441,1.410606729,verified,1848,116,581,1,698,16.69054441,16.04340747,1.3891463353485
mirostat_50_10,16.40401146,1.400823642,verified,1822,114,583,1,698,16.40401146,16.03885502,1.3889868870323
mirostat_60_10,15.61604585,1.37498856,verified,1838,109,589,0,698,15.61604585,14.97106235,1.3504607763671
temp150_topp_90,2.06185567,1.450338747,verified,6139,2,95,0,97,2.06185567,0.9344005819,0.9768820257428
temp150_topp_95,1.030927835,1.030927835,verified,4665,1,96,0,97,1.030927835,0.6099955362,0.7905854483927
temp150_topp_98,0,0,verified,3125,0,97,0,97,0,0.001037803062,0.0327091571295
